2023-04-17 22:24:22: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-18 19:09:31: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:10:01: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:10:31: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:11:02: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:11:32: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:12:02: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:12:32: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:13:02: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:13:32: Temperatur=21.5, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:14:02: Temperatur=21.6, Luftfeuchtigkeit=61.0, Taupunkt=13.7
2023-04-18 19:14:33: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:15:03: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:15:33: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:16:03: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:16:33: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:17:04: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:17:34: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:18:04: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:18:34: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:19:04: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:19:34: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:20:04: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:20:35: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:21:05: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:21:35: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:22:05: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:22:36: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:23:06: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:23:36: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:24:06: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:24:36: Temperatur=21.8, Luftfeuchtigkeit=61.0, Taupunkt=13.9
2023-04-18 19:25:06: Temperatur=21.8, Luftfeuchtigkeit=62.0, Taupunkt=14.2
2023-04-18 19:25:36: Temperatur=21.8, Luftfeuchtigkeit=62.0, Taupunkt=14.2
2023-04-18 19:26:06: Temperatur=21.8, Luftfeuchtigkeit=62.0, Taupunkt=14.2
2023-04-18 19:26:37: Temperatur=21.8, Luftfeuchtigkeit=62.0, Taupunkt=14.2
2023-04-18 19:27:07: Temperatur=21.6, Luftfeuchtigkeit=62.0, Taupunkt=14.0
2023-04-18 19:27:37: Temperatur=21.5, Luftfeuchtigkeit=62.0, Taupunkt=13.9
2023-04-18 19:28:07: Temperatur=21.5, Luftfeuchtigkeit=62.0, Taupunkt=13.9
2023-04-18 19:28:37: Temperatur=21.5, Luftfeuchtigkeit=62.0, Taupunkt=13.9
2023-04-18 19:29:07: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:29:37: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:30:07: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:30:38: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:31:08: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:31:38: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:32:08: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:32:38: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:33:08: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:33:39: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:34:09: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:34:39: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:35:09: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:35:39: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:36:09: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:36:39: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:37:10: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:37:40: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:38:10: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:38:40: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:39:10: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:39:40: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:40:10: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:40:40: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:41:10: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:41:41: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:42:11: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:42:41: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:43:11: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:43:41: Temperatur=21.4, Luftfeuchtigkeit=62.0, Taupunkt=13.8
2023-04-18 19:44:11: Temperatur=21.4, Luftfeuchtigkeit=63.0, Taupunkt=14.1
2023-04-18 19:44:41: Temperatur=21.4, Luftfeuchtigkeit=63.0, Taupunkt=14.1
2023-04-18 19:45:14: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 22:55:38: Temperatur=18.2, Luftfeuchtigkeit=74.0, Taupunkt=13.5
2023-04-20 22:56:09: Temperatur=18.2, Luftfeuchtigkeit=74.0, Taupunkt=13.5
2023-04-20 22:56:48: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 22:57:21: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 22:57:54: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 22:58:30: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 22:59:06: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 22:59:39: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:00:15: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:00:51: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:01:24: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:02:00: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:02:33: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:03:06: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:03:39: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:04:12: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:04:48: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:05:24: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:05:57: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:06:33: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:07:09: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:07:42: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:08:15: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:08:48: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:09:20: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:10:23: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:10:56: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:11:29: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:12:02: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:12:35: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:13:08: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:13:41: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:14:14: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:14:47: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:15:20: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:15:53: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:16:26: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:16:59: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:17:32: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:18:05: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:18:38: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:19:11: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:19:44: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:20:17: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:20:50: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:21:23: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:21:56: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:22:29: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:23:02: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:23:35: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:24:08: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:24:41: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:25:14: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:25:47: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:26:20: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:26:53: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:27:26: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:27:59: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:28:32: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:29:05: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:29:38: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:30:11: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:30:44: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:31:17: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:31:50: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:32:23: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:32:56: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:33:29: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:34:02: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:34:35: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:35:08: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:35:41: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:36:14: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:36:47: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:37:20: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:37:53: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:38:26: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:38:59: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:39:32: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:40:05: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:40:38: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:41:11: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:41:44: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:42:17: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:42:50: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:43:23: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:43:56: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:44:29: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:45:02: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:45:35: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:46:08: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:46:41: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:47:14: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:47:47: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:48:20: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:48:53: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:49:26: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:49:59: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:50:32: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:51:05: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:51:38: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:52:11: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:52:44: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:53:17: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:53:50: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:54:23: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:54:56: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:55:29: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:56:02: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:56:35: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:57:08: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-20 23:57:41: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-21 12:47:02: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-21 12:49:44: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-21 12:51:19: Temperatur=31.3, Luftfeuchtigkeit=61.0, Taupunkt=22.9
2023-04-21 12:51:41: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-21 12:51:49: Temperatur=30.8, Luftfeuchtigkeit=59.0, Taupunkt=21.8
2023-04-21 12:52:12: Temperatur=30.2, Luftfeuchtigkeit=59.0, Taupunkt=21.3
2023-04-21 12:52:19: Temperatur=30.2, Luftfeuchtigkeit=59.0, Taupunkt=21.3
2023-04-21 12:52:42: Temperatur=30.2, Luftfeuchtigkeit=59.0, Taupunkt=21.3
2023-04-21 12:52:49: Temperatur=29.8, Luftfeuchtigkeit=60.0, Taupunkt=21.2
2023-04-21 12:53:12: Temperatur=29.8, Luftfeuchtigkeit=60.0, Taupunkt=21.2
2023-04-21 12:53:19: Temperatur=29.8, Luftfeuchtigkeit=60.0, Taupunkt=21.2
2023-04-21 12:53:43: Temperatur=29.8, Luftfeuchtigkeit=61.0, Taupunkt=21.5
2023-04-21 12:53:49: Temperatur=29.8, Luftfeuchtigkeit=61.0, Taupunkt=21.5
2023-04-21 12:54:20: Temperatur=31.3, Luftfeuchtigkeit=60.0, Taupunkt=22.6
2023-04-21 12:54:40: Temperatur=32.3, Luftfeuchtigkeit=60.0, Taupunkt=23.5
2023-04-21 12:54:50: Temperatur=32.8, Luftfeuchtigkeit=59.0, Taupunkt=23.7
2023-04-21 12:55:20: Temperatur=34.2, Luftfeuchtigkeit=56.0, Taupunkt=24.2
2023-04-21 12:55:41: Temperatur=35.2, Luftfeuchtigkeit=54.0, Taupunkt=24.5
2023-04-21 12:55:50: Temperatur=35.6, Luftfeuchtigkeit=54.0, Taupunkt=24.8
2023-04-21 12:56:21: Temperatur=37.4, Luftfeuchtigkeit=52.0, Taupunkt=25.9
2023-04-21 12:56:41: Temperatur=38.5, Luftfeuchtigkeit=49.0, Taupunkt=25.9
2023-04-21 12:56:51: Temperatur=39.0, Luftfeuchtigkeit=48.0, Taupunkt=26.0
2023-04-21 12:57:21: Temperatur=40.1, Luftfeuchtigkeit=46.0, Taupunkt=26.3
2023-04-21 12:57:41: Temperatur=41.1, Luftfeuchtigkeit=44.0, Taupunkt=26.4
2023-04-21 12:57:51: Temperatur=41.6, Luftfeuchtigkeit=44.0, Taupunkt=26.9
2023-04-21 12:58:21: Temperatur=42.5, Luftfeuchtigkeit=42.0, Taupunkt=26.9
2023-04-21 12:58:41: Temperatur=43.0, Luftfeuchtigkeit=41.0, Taupunkt=26.9
2023-04-21 12:58:51: Temperatur=43.0, Luftfeuchtigkeit=41.0, Taupunkt=26.9
2023-04-21 12:59:22: Temperatur=43.5, Luftfeuchtigkeit=40.0, Taupunkt=26.9
2023-04-21 12:59:42: Temperatur=43.9, Luftfeuchtigkeit=39.0, Taupunkt=26.8
2023-04-21 12:59:52: Temperatur=44.4, Luftfeuchtigkeit=39.0, Taupunkt=27.3
2023-04-21 13:00:22: Temperatur=45.3, Luftfeuchtigkeit=37.0, Taupunkt=27.2
2023-04-21 13:00:42: Temperatur=45.7, Luftfeuchtigkeit=36.0, Taupunkt=27.1
2023-04-21 13:00:52: Temperatur=45.7, Luftfeuchtigkeit=36.0, Taupunkt=27.1
2023-04-21 13:01:23: Temperatur=46.2, Luftfeuchtigkeit=35.0, Taupunkt=27.0
2023-04-21 13:01:42: Temperatur=46.2, Luftfeuchtigkeit=35.0, Taupunkt=27.0
2023-04-21 13:01:53: Temperatur=46.2, Luftfeuchtigkeit=35.0, Taupunkt=27.0
2023-04-21 13:02:23: Temperatur=45.7, Luftfeuchtigkeit=34.0, Taupunkt=26.1
2023-04-21 13:02:42: Temperatur=45.7, Luftfeuchtigkeit=33.0, Taupunkt=25.6
2023-04-21 13:02:53: Temperatur=45.7, Luftfeuchtigkeit=33.0, Taupunkt=25.6
2023-04-21 13:03:23: Temperatur=45.3, Luftfeuchtigkeit=33.0, Taupunkt=25.2
2023-04-21 13:03:42: Temperatur=45.3, Luftfeuchtigkeit=33.0, Taupunkt=25.2
2023-04-21 13:03:53: Temperatur=45.3, Luftfeuchtigkeit=33.0, Taupunkt=25.2
2023-04-21 13:04:23: Temperatur=44.8, Luftfeuchtigkeit=34.0, Taupunkt=25.3
2023-04-21 13:04:43: Temperatur=44.4, Luftfeuchtigkeit=34.0, Taupunkt=25.0
2023-04-21 13:04:54: Temperatur=43.9, Luftfeuchtigkeit=34.0, Taupunkt=24.5
2023-04-21 13:05:24: Temperatur=43.5, Luftfeuchtigkeit=35.0, Taupunkt=24.7
2023-04-21 13:05:43: Temperatur=43.0, Luftfeuchtigkeit=35.0, Taupunkt=24.2
2023-04-21 13:05:54: Temperatur=42.5, Luftfeuchtigkeit=36.0, Taupunkt=24.3
2023-04-21 13:06:24: Temperatur=42.5, Luftfeuchtigkeit=36.0, Taupunkt=24.3
2023-04-21 13:06:43: Temperatur=42.0, Luftfeuchtigkeit=37.0, Taupunkt=24.3
2023-04-21 13:06:55: Temperatur=42.1, Luftfeuchtigkeit=37.0, Taupunkt=24.4
2023-04-21 13:07:25: Temperatur=42.5, Luftfeuchtigkeit=37.0, Taupunkt=24.7
2023-04-21 13:07:43: Temperatur=42.5, Luftfeuchtigkeit=37.0, Taupunkt=24.7
2023-04-21 13:07:55: Temperatur=42.5, Luftfeuchtigkeit=37.0, Taupunkt=24.7
2023-04-21 13:08:25: Temperatur=42.5, Luftfeuchtigkeit=37.0, Taupunkt=24.7
2023-04-21 13:08:43: Temperatur=43.0, Luftfeuchtigkeit=36.0, Taupunkt=24.7
2023-04-21 13:08:56: Temperatur=43.0, Luftfeuchtigkeit=36.0, Taupunkt=24.7
2023-04-21 13:09:26: Temperatur=43.0, Luftfeuchtigkeit=36.0, Taupunkt=24.7
2023-04-21 13:09:43: Temperatur=43.5, Luftfeuchtigkeit=36.0, Taupunkt=25.1
